XML_file_name,View_name,Resource_name
bookmarks_individual_overflow_menu,item,edit
bookmarks_individual_overflow_menu,item,delete
menu_browser_activity,item,fire
menu_browser_activity,item,tabs
menu_tab_switcher_activity,item,fire
menu_tab_switcher_activity,item,newTab
menu_tab_switcher_activity,item,newTabOverflow
menu_tab_switcher_activity,item,closeAllTabs
menu_tab_switcher_activity,item,settings
include_cta,include,ctaContent
include_cta,androidx.constraintlayout.widget.Guideline,centerGuideline
content_onboarding_welcome,LinearLayout,welcomeContent
content_onboarding_welcome,androidx.appcompat.widget.AppCompatImageView,daxLogo
content_onboarding_welcome,TextView,welcomeTitle
content_onboarding_default_browser,Button,continueButton
content_onboarding_default_browser,Button,launchSettingsButton
content_onboarding_default_browser,ImageView,defaultBrowserImage
content_onboarding_default_browser,TextView,browserProtectionTitle
content_onboarding_default_browser,TextView,browserProtectionSubtitle
activity_add_widget_instructions,com.airbnb.lottie.LottieAnimationView,animation
activity_add_widget_instructions,include,steps
activity_add_widget_instructions,androidx.constraintlayout.widget.Barrier,contentBarrierBottom
content_onboarding_default_browser_daxstyle,Button,continueButton
content_onboarding_default_browser_daxstyle,Button,launchSettingsButton
content_onboarding_default_browser_daxstyle,ImageView,defaultBrowserImage
content_onboarding_default_browser_daxstyle,TextView,browserProtectionTitle
content_onboarding_default_browser_daxstyle,TextView,browserProtectionSubtitle
content_test,androidx.recyclerview.widget.RecyclerView,recycler
content_test,TextView,emptyBookmarks
item_tracker_network_header,TextView,network
item_tracker_network_header,ImageView,icon
include_privacy_dashboard_header,ImageView,privacyBanner
include_privacy_dashboard_header,TextView,domain
include_privacy_dashboard_header,TextView,heading
content_about_duck_duck_go,ImageView,ddgLogo
content_about_duck_duck_go,TextView,learnMoreLink
popup_window_browser_menu,LinearLayout,header
popup_window_browser_menu,ImageButton,backPopupMenuItem
popup_window_browser_menu,ImageButton,forwardPopupMenuItem
popup_window_browser_menu,ImageButton,refreshPopupMenuItem
popup_window_browser_menu,TextView,newTabPopupMenuItem
popup_window_browser_menu,TextView,bookmarksPopupMenuItem
popup_window_browser_menu,TextView,addBookmarksPopupMenuItem
popup_window_browser_menu,TextView,sharePageMenuItem
popup_window_browser_menu,TextView,findInPageMenuItem
popup_window_browser_menu,TextView,addToHome
popup_window_browser_menu,TextView,brokenSitePopupMenuItem
popup_window_browser_menu,TextView,settingsPopupMenuItem
popup_window_browser_menu,CheckBox,requestDesktopSiteCheckMenuItem
content_feedback_negative_disambiguation_main_reason,ImageView,emoticonImage
content_feedback_negative_disambiguation_main_reason,TextView,title
content_feedback_negative_disambiguation_main_reason,TextView,subtitle
content_feedback_negative_disambiguation_main_reason,androidx.recyclerview.widget.RecyclerView,recyclerView
include_cta_buttons,Button,ctaDismissButton
include_cta_buttons,Button,ctaOkButton
content_settings_general,TextView,settingsGeneralTitle
content_settings_general,androidx.appcompat.widget.SwitchCompat,lightThemeToggle
content_settings_general,androidx.appcompat.widget.SwitchCompat,autocompleteToggle
content_settings_general,androidx.appcompat.widget.SwitchCompat,setAsDefaultBrowserSetting
item_privacy_practice,ImageView,icon
item_privacy_practice,TextView,description
search_widget,ImageView,logo
search_widget,ImageView,search
search_widget,TextView,searchInputBox
edit_bookmark,com.google.android.material.textfield.TextInputLayout,bookmarkTitleInputContainer
edit_bookmark,com.google.android.material.textfield.TextInputLayout,bookmarkUrlInputContainer
edit_bookmark,EditText,titleInput
edit_bookmark,EditText,urlInput
content_feedback_negative_broken_site_feedback,ImageView,emoticonImage
content_feedback_negative_broken_site_feedback,TextView,title
content_feedback_negative_broken_site_feedback,TextView,subtitle
content_feedback_negative_broken_site_feedback,com.google.android.material.textfield.TextInputLayout,brokenSiteInputContainer
content_feedback_negative_broken_site_feedback,com.google.android.material.textfield.TextInputLayout,openEndedFeedbackContainer
content_feedback_negative_broken_site_feedback,Button,submitFeedbackButton
content_feedback_negative_broken_site_feedback,com.google.android.material.textfield.TextInputEditText,brokenSiteInput
content_feedback_negative_broken_site_feedback,com.google.android.material.textfield.TextInputEditText,openEndedFeedback
item_autocomplete_search_suggestion,ImageView,phraseOrUrlIndicator
item_autocomplete_search_suggestion,TextView,phrase
item_autocomplete_search_suggestion,FrameLayout,editQueryImage
content_privacy_practices,View,bottomDivider
content_privacy_practices,View,topDivider
content_privacy_practices,TextView,tosdrLink
content_privacy_practices,TextView,practicesOverview
content_privacy_practices,TextView,domain
content_privacy_practices,TextView,heading
content_privacy_practices,androidx.constraintlayout.widget.ConstraintLayout,practicesBannerContainer
content_privacy_practices,androidx.recyclerview.widget.RecyclerView,practicesList
content_privacy_practices,ImageView,practicesBanner
content_tracker_networks,androidx.constraintlayout.widget.ConstraintLayout,networksBannerContainer
content_tracker_networks,TextView,networksOverview
content_tracker_networks,TextView,domain
content_tracker_networks,TextView,heading
content_tracker_networks,View,topDivider
content_tracker_networks,androidx.recyclerview.widget.RecyclerView,networksList
content_tracker_networks,ImageView,networksBanner
content_bookmarks,androidx.recyclerview.widget.RecyclerView,recycler
content_bookmarks,TextView,emptyBookmarks
content_onboarding_unified_data_clearing,androidx.constraintlayout.widget.ConstraintLayout,dataClearingGroup
content_onboarding_unified_data_clearing,TextView,dataClearingTitle
content_onboarding_unified_data_clearing,TextView,dataClearingSubtitle
content_privacy_scorecard,include,privacyGrade
content_privacy_scorecard,TextView,https
content_privacy_scorecard,TextView,trackers
content_privacy_scorecard,TextView,majorNetworks
content_privacy_scorecard,TextView,siteIsMajorNetworkMember
content_privacy_scorecard,TextView,practices
content_privacy_scorecard,TextView,beforeGrade
content_privacy_scorecard,TextView,afterGrade
include_new_browser_tab,ImageView,ddgLogo
include_new_browser_tab,LinearLayout,ctaContainer
fragment_browser_tab,include,defaultCard
fragment_browser_tab,FrameLayout,webViewFullScreenContainer
fragment_browser_tab,FrameLayout,webViewContainer
fragment_browser_tab,androidx.recyclerview.widget.RecyclerView,autoCompleteSuggestionsList
fragment_browser_tab,androidx.constraintlayout.widget.ConstraintLayout,browserLayout
fragment_browser_tab,View,focusDummy
include_toolbar,androidx.appcompat.widget.Toolbar,toolbar
content_settings_privacy,TextView,settingsPrivacyTitle
content_settings_privacy,com.duckduckgo.app.settings.SettingsOptionWithSubtitle,automaticallyClearWhatSetting
content_settings_privacy,com.duckduckgo.app.settings.SettingsOptionWithSubtitle,automaticallyClearWhenSetting
activity_broken_site,View,titleSection
activity_broken_site,ImageView,icon
activity_broken_site,TextView,title
activity_broken_site,TextView,description
activity_broken_site,TextView,brokenDomainLabel
activity_broken_site,EditText,brokenSiteUrl
activity_broken_site,EditText,feedbackMessage
activity_broken_site,Button,submitButton
settings_option_with_subtitle,androidx.appcompat.widget.AppCompatTextView,title
settings_option_with_subtitle,androidx.appcompat.widget.AppCompatTextView,subtitle
content_feedback_positive_landing,ImageView,emoticonImage
content_feedback_positive_landing,TextView,title
content_feedback_positive_landing,TextView,subtitle
content_feedback_positive_landing,androidx.constraintlayout.widget.Guideline,guideline
content_feedback_positive_landing,Button,rateAppButton
content_feedback_positive_landing,Button,shareFeedbackButton
content_feedback_positive_landing,Button,cancelButton
include_omnibar_toolbar,com.google.android.material.appbar.AppBarLayout,appBarLayout
include_omnibar_toolbar,androidx.constraintlayout.widget.ConstraintLayout,toolbarContainer
include_omnibar_toolbar,androidx.constraintlayout.widget.ConstraintLayout,omniBarContainer
include_omnibar_toolbar,androidx.constraintlayout.widget.ConstraintLayout,networksContainer
include_omnibar_toolbar,androidx.appcompat.widget.Toolbar,toolbar
include_omnibar_toolbar,FrameLayout,browserMenu
include_omnibar_toolbar,ProgressBar,pageLoadingIndicator
include_omnibar_toolbar,ImageButton,privacyGradeButton
include_omnibar_toolbar,com.duckduckgo.app.browser.omnibar.KeyboardAwareEditText,omnibarTextInput
include_omnibar_toolbar,ImageView,clearTextButton
content_privacy_dashboard,include,privacyGrade
content_privacy_dashboard,androidx.constraintlayout.widget.ConstraintLayout,review
content_privacy_dashboard,androidx.constraintlayout.widget.ConstraintLayout,privacyToggleContainer
content_privacy_dashboard,androidx.constraintlayout.widget.ConstraintLayout,trackerNetworkLeaderboard
content_privacy_dashboard,LinearLayout,httpsContainer
content_privacy_dashboard,LinearLayout,networksContainer
content_privacy_dashboard,LinearLayout,practicesContainer
content_privacy_dashboard,TextView,privacyToggleText
content_privacy_dashboard,TextView,trackerNetworkLeaderboardHeader
content_privacy_dashboard,TextView,trackerNetworkLeaderboardNotReady
content_privacy_dashboard,TextView,httpsText
content_privacy_dashboard,TextView,networksText
content_privacy_dashboard,TextView,practicesText
content_privacy_dashboard,androidx.appcompat.widget.SwitchCompat,privacyToggle
content_privacy_dashboard,com.duckduckgo.app.privacy.ui.TrackerNetworkLeaderboardPillView,trackerNetworkPill1
content_privacy_dashboard,com.duckduckgo.app.privacy.ui.TrackerNetworkLeaderboardPillView,trackerNetworkPill2
